DATE,CSUSHPISA
2006-07-01,183.067
2006-08-01,182.593
2006-09-01,182.798
2006-10-01,183.2
2006-11-01,183.611
2006-12-01,184.14
2007-01-01,184.517
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.255
2007-07-01,179.112
2007-08-01,178.118
2007-09-01,177.55900000000003
2007-10-01,176.62400000000002
2007-11-01,175.146
2007-12-01,174.34099999999998
2008-01-01,173.13299999999998
2008-02-01,171.543
2008-03-01,170.055
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.018
2008-07-01,163.56799999999998
2008-08-01,161.989
2008-09-01,160.309
2008-10-01,158.328
2008-11-01,156.141
2008-12-01,153.61700000000002
2009-01-01,151.504
2009-02-01,150.011
2009-03-01,148.658
2009-04-01,147.94799999999998
2009-05-01,147.694
2009-06-01,148.089
2009-07-01,148.408
2009-08-01,148.276
2009-09-01,148.024
2009-10-01,147.84799999999998
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.395
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.399
2010-05-01,146.389
2010-06-01,145.716
2010-07-01,144.986
2010-08-01,143.911
2010-09-01,143.014
2010-10-01,142.525
2010-11-01,142.16899999999998
2010-12-01,142.06
2011-01-01,141.524
2011-02-01,140.35299999999998
2011-03-01,139.985
2011-04-01,140.01
2011-05-01,139.90200000000002
2011-06-01,139.858
2011-07-01,139.727
2011-08-01,139.306
2011-09-01,138.666
2011-10-01,137.952
2011-11-01,137.153
2011-12-01,136.674
2012-01-01,136.606
2012-02-01,136.528
2012-03-01,137.90200000000002
2012-04-01,139.156
2012-05-01,140.157
2012-06-01,141.029
2012-07-01,141.667
2012-08-01,142.276
2012-09-01,142.906
2012-10-01,143.6
2012-11-01,144.585
2012-12-01,145.502
2013-01-01,146.834
2013-02-01,147.781
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.852
2013-06-01,154.196
2013-07-01,155.606
2013-08-01,156.97299999999998
2013-09-01,158.232
